,star_rating,title,year,content_rating,genre,duration,gross,rotten_rating
32,8.5,Coco,-2017,PG,Animation,105,46836394,97%
33,8.5,The Departed,2006,R,Crime,151,1267102,90%
34,8.5,The Lion King,1994,G,Animation,88,342551365,93%
35,8.5,Back to the Future,1985,PG,Adventure,116,782176,96%
36,8.5,Gladiator,2000,R,Action,155,112000000,77%
37,8.5,Whiplash,2014,R,Drama,107,266583,94%
38,8.5,The Prestige,2006,PG-13,Drama,130,269061,75%
39,8.5,Raiders of the Lost Ark,1981,PG,Action,115,1183361,95%
40,8.5,Alien,1979,R,Horror,116,188020017,97%
41,8.5,Apocalypse Now,1979,R,Drama,147,1050761,96%
42,8.5,The Green Mile,1999,R,Crime,189,130742922,80%
43,8.5,Psycho,1960,R,Horror,109,858137,97%
44,8.5,Terminator 2,1991,R,Action,137,19501238,92%
45,8.5,Memento,2000,R,Mystery,113,1198932,92%
46,8.5,American History X,1998,R,Crime,119,100125643,83%
47,8.5,The Intouchables,2011,R,Biography,112,1059654,74%
48,8.5,Once Upon a Time in the West,1968,PG-13,Western            ,164,322740140,98%
49,8.5,The Pianist,2002,R,Biography,150,1034958,95%
50,8.5,Casablanca,1942,PG,Drama,102,216540909,97%
51,8.5,Rear Window,1954,PG,Mystery,112,512829,100%
52,8.5,Grave of the Fireflies,1988,Not Rated,Animation,89,10055859,97%
53,8.5,Cinema Paradiso,1988,R,Drama            ,155,854833,90%
54,8.5,Dangal,2016,Not Rated,Action,161,23341568,92%
55,8.5,Sunset Blvd.,1950,Not Rated,Drama,110,609350,- Wait - Rating for source Rotten Tomatoes was not found!
56,8.5,The Great Dictator,1940,G,Comedy,125,7563397,92%
57,8.5,Modern Times,1936,G,Comedy,87,510702,100%
58,8.5,Babam ve Oglum,2005,R,Drama            ,108,57598247,
59,8.4,Django Unchained,2012,R,Drama,165,330423,87%
60,8.4,The Shining,1980,PG-13,Drama,146,7270000,86%
61,8.4,The Dark Knight Rises,2012,R,Action,164,134896,87%
62,8.4,Braveheart,1995,R,Biography,178,19181,76%
63,8.4,American Beauty,1999,PG,Drama            ,122,186425,88%
64,8.4,Kimi no na wa.,2016,R,Animation,106,209726015,- Wait - Rating for source Rotten Tomatoes was not found!
65,8.4,Oldeuboi,2003,R,Action,120,1011454,
66,8.4,Aliens,1986,G,Action,137,132384315,98%
67,8.4,WALLáE,2008,R,Animation,98,770983,
68,8.4,Once Upon a Time in America,1984,R,Crime,229,312900000,86%
69,8.4,The Lives of Others,2006,PG,Drama,137,867023,92%
70,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG-13,Comedy            ,95,210609762,99%
71,8.4,3 Idiots,2009,PG-13,Comedy,170,1136687,100%
72,8.4,Princess Mononoke,1997,PG,Animation,134,187705427,92%
73,8.4,Citizen Kane,1941,R,Drama,119,554499,100%
74,8.4,Das Boot,1981,PG,Adventure,149,13092000,98%
75,8.4,Taare Zameen Par,2007,Not Rated,Drama,165,998305,
76,8.4,M,1931,Not Rated,Crime,99,53089891,100%
77,8.4,Witness for the Prosecution,1957,Not Rated,Crime,116,761927,100%
78,8.4,Paths of Glory,1957,Not Rated,Drama,88,248159971,95%
79,8.4,Baahubali 2: The Conclusion,2017,R,Action,167,670972,100%
80,8.3,Inglourious Basterds,2009,G,Adventure,153,78900000,88%
81,8.3,2001: A Space Odyssey,1968,G,Adventure,149,517652,92%
82,8.3,Toy Story,1995,R,Animation,81,83471511,100%
83,8.3,Taxi Driver,1976,R,Crime,114,936295,98%
84,8.3,A Clockwork Orange,1971,G,Crime,136,136801374,89%
85,8.3,Toy Story 3,2010,R,Animation,103,499468,99%
86,8.3,Requiem for a Dream,2000,PG-13,Drama            ,102,32000000,78%
87,8.3,Batman Begins,2005,R,Action,140,854482,84%
88,8.3,Scarface,1983,PG,Crime,170,204843350,82%
89,8.3,Up,2009,R,Animation,96,976336,98%
90,8.3,Full Metal Jacket,1987,R,Drama,116,25544867,93%
91,8.3,Good Will Hunting,1997,R,Drama            ,126,899722,97%
92,8.3,Eternal Sunshine of the Spotless Mind,2004,R,Drama,108,6719864,93%
93,8.3,Snatch,2000,R,Comedy,102,622183,73%
94,8.3,L.A. Confidential,1997,R,Crime,138,13182281,99%
95,8.3,Reservoir Dogs,1992,PG,Crime,99,255126,91%
96,8.3,Star Wars: Episode VI - Return of the Jedi,1983,PG-13,Action,131,5321508,80%
97,8.3,Indiana Jones and the Last Crusade,1989,R,Action,127,594442,88%
98,8.3,For a Few Dollars More,1965,R,Western            ,132,32572577,94%
99,8.3,The Hunt,2012,R,Drama,115,449102,94%
100,8.5,Back to the Future,1985,PG,Adventure,114,32572577,96%
101,7.1,Blade,1998,R,Action,120,32572577,54%
102,8.6,Spirited Away,2001,PG,Animation,125,32572577,97%
103,7.6,Moana,2018,PG,Animation,103,32572577,97%
